Date,Open,High,Low,Close,Volume
08/05/2022,"34.54","36.81","34.32","36.68","184,548"
08/04/2022,"36.16","36.37","34.22","34.24","143,977"
08/03/2022,"38.65","38.70","35.81","36.00","189,742"
08/02/2022,"37.84","40.38","37.50","38.66","233,698"
08/01/2022,"35.94","37.96","35.54","37.70","224,562"
07/29/2022,"36.78","36.84","34.70","36.28","250,138"
07/28/2022,"39.01","39.69","35.24","36.84","358,544"
07/27/2022,"44.06","44.52","43.22","44.05","112,927"
07/26/2022,"42.91","43.67","42.81","43.67","94,107"
07/25/2022,"42.53","43.17","42.15","42.91","205,742"
07/22/2022,"42.58","42.89","41.99","42.54","50,176"
07/21/2022,"41.17","42.52","40.89","42.52","60,550"
07/20/2022,"40.98","41.49","40.67","41.25","64,857"
07/19/2022,"40.13","41.21","40.13","41.11","73,122"
07/18/2022,"40.85","41.01","39.44","39.60","47,827"
07/15/2022,"39.98","40.87","39.68","40.39","65,794"
07/14/2022,"38.55","39.69","38.45","39.32","60,351"
07/13/2022,"39.00","39.34","38.68","39.08","70,223"
07/12/2022,"39.25","39.76","39.09","39.17","66,147"
07/11/2022,"39.79","40.10","39.25","39.37","47,080"
07/08/2022,"39.90","40.18","39.58","39.98","49,999"
07/07/2022,"39.74","40.35","39.74","39.94","56,287"
07/06/2022,"40.08","40.22","39.20","39.54","72,082"
07/05/2022,"39.76","40.01","38.95","39.93","76,570"
07/01/2022,"39.42","40.31","39.34","40.23","72,500"
06/30/2022,"38.52","39.65","37.83","39.65","155,016"
06/29/2022,"39.43","39.43","38.72","39.01","117,069"
06/28/2022,"40.07","40.63","39.32","39.34","146,112"
06/27/2022,"39.61","39.98","38.63","39.81","127,241"
06/24/2022,"37.64","39.40","37.64","39.40","602,828"
06/23/2022,"36.91","37.57","36.57","37.56","136,892"
06/22/2022,"37.01","37.62","36.50","36.88","163,082"
06/21/2022,"36.35","37.76","36.14","37.74","120,387"
06/17/2022,"36.10","36.35","35.46","35.64","233,644"
06/16/2022,"37.84","37.84","35.69","35.98","133,384"
06/15/2022,"38.00","38.82","37.92","38.38","186,444"
06/14/2022,"37.30","38.00","37.15","37.91","123,863"
06/13/2022,"38.87","38.87","37.09","37.34","180,458"
06/10/2022,"40.26","40.26","39.11","39.57","155,555"
06/09/2022,"40.66","41.33","40.11","40.92","139,318"
06/08/2022,"41.71","41.88","40.93","41.10","90,929"
06/07/2022,"40.99","41.94","40.99","41.89","70,060"
06/06/2022,"40.93","41.56","40.22","41.37","87,999"
06/03/2022,"41.31","41.33","40.44","40.64","71,402"
06/02/2022,"40.94","41.75","40.90","41.60","76,562"
06/01/2022,"40.70","41.22","40.00","40.87","84,538"
05/31/2022,"40.22","40.77","39.53","40.37","216,078"
05/27/2022,"40.11","40.76","40.05","40.42","93,773"
05/26/2022,"39.57","40.57","39.42","40.05","75,193"
05/25/2022,"38.42","39.74","38.42","39.16","114,906"
05/24/2022,"39.07","39.12","38.00","38.80","89,771"
05/23/2022,"38.74","39.33","38.12","38.71","102,963"
05/20/2022,"38.71","38.84","37.33","38.33","97,774"
05/19/2022,"38.36","39.16","37.78","38.50","117,927"
05/18/2022,"40.14","40.23","38.51","38.68","91,291"
05/17/2022,"39.97","40.83","39.84","40.67","93,392"
05/16/2022,"39.38","40.06","39.18","39.52","207,428"
05/13/2022,"39.90","40.55","39.49","39.52","74,682"
05/12/2022,"39.11","40.00","38.61","39.49","124,365"
05/11/2022,"39.59","40.70","38.90","38.99","212,540"
05/10/2022,"40.23","40.97","39.15","39.29","263,363"
05/09/2022,"40.67","40.80","39.50","40.07","171,351"
05/06/2022,"41.33","41.53","40.22","41.30","112,366"
05/05/2022,"42.81","42.95","40.88","41.49","85,554"
05/04/2022,"42.14","43.57","41.58","43.34","139,876"
05/03/2022,"41.98","42.04","41.07","41.57","139,233"
05/02/2022,"43.05","44.05","41.32","42.15","140,140"
04/29/2022,"44.32","44.60","42.37","42.89","193,077"
04/28/2022,"49.63","49.63","44.36","44.87","283,798"
04/27/2022,"48.53","49.11","48.32","48.62","114,406"
04/26/2022,"49.44","50.42","48.31","48.48","80,430"
04/25/2022,"49.05","49.79","48.35","49.73","120,405"
04/22/2022,"52.02","52.07","49.41","49.59","262,606"
04/21/2022,"53.28","53.68","52.02","52.27","57,599"
04/20/2022,"53.44","53.95","52.71","52.99","82,334"
04/19/2022,"52.05","53.63","52.05","53.14","68,742"
04/18/2022,"51.80","52.65","51.62","52.21","53,127"
04/14/2022,"52.29","52.62","51.78","51.88","74,287"
04/13/2022,"51.49","52.21","51.02","52.00","76,689"
04/12/2022,"51.31","52.07","51.28","51.53","61,697"
04/11/2022,"51.46","51.63","50.83","50.88","49,866"
04/08/2022,"51.50","52.47","51.39","51.62","92,772"
04/07/2022,"51.09","52.00","50.85","51.61","68,660"
04/06/2022,"52.50","52.79","50.92","51.11","103,264"
04/05/2022,"52.25","53.17","52.00","52.62","111,949"
04/04/2022,"52.40","52.51","50.84","52.33","108,535"
04/01/2022,"53.28","53.28","51.15","52.49","134,184"
03/31/2022,"53.08","54.10","52.56","53.33","209,305"
03/30/2022,"52.70","53.29","52.38","52.85","283,606"
03/29/2022,"54.73","54.84","52.77","52.92","123,326"
03/28/2022,"55.09","55.20","53.71","54.22","74,596"
03/25/2022,"54.55","54.94","53.76","54.86","83,666"
03/24/2022,"53.37","54.65","52.95","54.59","82,234"
03/23/2022,"55.05","55.05","53.14","53.35","128,464"
03/22/2022,"55.39","55.90","55.02","55.17","74,300"
03/21/2022,"56.16","56.16","55.03","55.25","97,380"
03/18/2022,"54.19","56.28","54.02","56.06","179,189"
03/17/2022,"54.49","54.90","54.05","54.13","100,218"
03/16/2022,"53.99","54.75","53.53","54.65","123,044"
03/15/2022,"52.89","53.91","52.53","53.36","137,360"
03/14/2022,"51.31","52.72","51.16","52.61","175,280"
03/11/2022,"51.85","52.89","51.05","51.16","104,707"
03/10/2022,"49.99","51.84","49.99","51.64","107,160"
03/09/2022,"51.29","52.04","50.20","50.49","191,276"
03/08/2022,"50.56","51.91","50.51","50.68","154,105"
03/07/2022,"51.12","51.89","50.03","50.66","141,536"
03/04/2022,"49.96","51.51","49.59","51.21","117,388"
03/03/2022,"50.84","51.38","50.00","50.57","89,894"
03/02/2022,"50.07","51.70","50.07","50.81","117,669"
03/01/2022,"49.47","50.49","48.89","49.89","166,212"
02/28/2022,"49.80","50.52","48.95","49.21","122,839"
02/25/2022,"49.31","50.37","47.53","50.34","136,936"
02/24/2022,"48.35","49.71","47.07","48.98","189,781"
02/23/2022,"50.10","50.32","49.05","49.48","125,329"
02/22/2022,"49.08","50.54","48.97","49.49","107,175"
02/18/2022,"49.08","49.95","48.67","49.50","130,474"
02/17/2022,"50.84","50.84","49.10","49.32","110,669"
02/16/2022,"51.59","51.85","50.58","51.09","104,908"
02/15/2022,"51.70","52.10","50.94","51.61","113,144"
02/14/2022,"50.60","51.63","50.40","50.80","193,022"
02/11/2022,"51.45","51.94","50.08","50.51","93,879"
02/10/2022,"51.72","52.31","51.03","51.31","189,713"
02/09/2022,"51.54","52.37","51.53","52.29","221,652"
02/08/2022,"50.13","51.15","50.03","50.90","173,612"
02/07/2022,"49.05","50.66","49.05","50.07","230,523"
02/04/2022,"48.37","49.34","47.18","48.69","188,452"
02/03/2022,"48.79","49.74","48.62","48.89","82,464"
02/02/2022,"50.13","50.13","48.56","49.35","122,040"
02/01/2022,"50.34","50.78","49.02","49.83","92,398"
01/31/2022,"48.52","50.32","48.42","50.32","134,884"
01/28/2022,"48.39","48.76","46.80","48.75","148,992"
01/27/2022,"50.05","50.80","47.88","48.13","144,200"
01/26/2022,"51.64","52.34","49.37","49.92","141,629"
01/25/2022,"52.18","52.54","50.85","50.90","125,095"
01/24/2022,"51.30","53.21","50.28","52.83","138,019"
01/21/2022,"52.45","53.03","51.51","52.08","210,268"
01/20/2022,"54.75","55.22","52.35","52.48","214,926"
01/19/2022,"56.05","56.05","54.63","54.66","204,323"
01/18/2022,"57.80","57.80","55.61","55.72","122,466"
01/14/2022,"57.75","58.31","57.31","58.10","139,251"
01/13/2022,"58.28","58.47","57.35","58.19","81,147"
01/12/2022,"57.33","58.36","56.99","57.83","210,547"
01/11/2022,"57.36","57.36","56.34","57.32","117,101"
01/10/2022,"57.43","57.57","56.39","57.40","122,856"
01/07/2022,"59.20","59.46","57.76","57.97","108,229"
01/06/2022,"58.92","59.87","58.16","59.47","115,890"
01/05/2022,"61.47","61.65","58.81","59.12","230,883"
01/04/2022,"61.96","62.99","61.39","61.50","146,391"
01/03/2022,"64.64","65.16","61.05","61.74","180,832"
12/31/2021,"64.87","65.38","64.42","64.44","204,252"
12/30/2021,"65.91","66.33","64.41","64.49","129,651"
12/29/2021,"65.20","66.33","64.83","65.91","134,269"
12/28/2021,"64.40","66.29","64.13","64.99","142,991"
12/27/2021,"63.09","64.11","62.10","63.80","189,438"
12/23/2021,"63.10","63.90","62.46","62.66","255,205"
12/22/2021,"60.88","63.09","60.88","63.08","201,465"
12/21/2021,"59.64","60.97","59.24","60.89","190,503"
12/20/2021,"59.26","59.55","56.00","59.24","335,991"
12/17/2021,"58.07","60.11","57.56","59.42","483,042"
12/16/2021,"57.78","58.69","57.59","58.33","503,837"
12/15/2021,"55.72","58.21","55.60","57.53","276,810"
12/14/2021,"55.99","57.54","55.52","55.63","268,946"
12/13/2021,"55.95","57.27","55.43","56.16","202,207"
12/10/2021,"55.30","56.82","55.30","56.23","152,015"
12/09/2021,"57.08","58.33","55.33","55.44","215,672"
12/08/2021,"55.83","57.87","55.62","57.54","233,484"
12/07/2021,"54.96","56.56","54.95","55.46","186,647"
12/06/2021,"53.58","54.73","52.98","54.51","159,197"
12/03/2021,"53.96","54.03","52.79","53.26","179,716"
12/02/2021,"52.08","54.30","52.04","53.88","168,061"
12/01/2021,"52.67","53.43","52.00","52.07","200,088"
11/30/2021,"51.00","52.60","50.81","51.74","325,391"
11/29/2021,"53.13","53.26","51.02","51.15","160,265"
11/26/2021,"52.90","53.18","51.92","52.95","106,355"
11/24/2021,"54.03","55.02","53.83","53.86","175,760"
11/23/2021,"52.94","54.47","52.94","54.12","237,591"
11/22/2021,"51.93","53.32","51.54","52.64","210,303"
11/19/2021,"51.48","52.76","51.48","51.76","206,383"
11/18/2021,"51.99","52.60","51.36","51.74","127,233"
11/17/2021,"51.31","52.26","51.21","51.86","228,642"
11/16/2021,"50.54","51.70","50.35","51.57","115,704"
11/15/2021,"50.45","51.36","50.19","50.47","168,529"
11/12/2021,"49.62","50.73","49.62","50.42","86,002"
11/11/2021,"48.86","50.64","48.85","49.97","89,891"
11/10/2021,"49.36","50.07","48.51","48.78","134,949"
11/09/2021,"50.05","50.79","49.40","49.49","197,065"
11/08/2021,"49.37","50.64","49.06","49.87","175,134"
11/05/2021,"48.97","50.11","48.91","49.00","192,630"
11/04/2021,"48.39","48.72","48.01","48.44","71,088"
11/03/2021,"48.37","49.11","48.22","48.30","83,150"
11/02/2021,"50.78","50.78","48.48","48.62","152,309"
11/01/2021,"51.51","52.00","49.59","50.78","177,559"
